date,cpi_recreation
2016-01-01,157.761
2016-02-01,158.450
2016-03-01,159.052
2016-04-01,159.958
2016-05-01,159.890
2016-06-01,160.866
2016-07-01,160.652
2016-08-01,160.535
2016-09-01,161.188
2016-10-01,160.765
2016-11-01,160.198
2016-12-01,160.069
2017-01-01,161.604
2017-02-01,163.460
2017-03-01,163.520
2017-04-01,163.456
2017-05-01,163.235
2017-06-01,163.403
2017-07-01,164.813
2017-08-01,165.221
2017-09-01,164.789
2017-10-01,164.659
2017-11-01,164.752
2017-12-01,165.712
2018-01-01,166.233
2018-02-01,166.809
2018-03-01,166.635
2018-04-01,165.947
2018-05-01,166.686
2018-06-01,168.395
2018-07-01,168.720
2018-08-01,168.107
2018-09-01,168.779
2018-10-01,168.504
2018-11-01,169.763
2018-12-01,170.380
2019-01-01,170.859
2019-02-01,170.562
2019-03-01,171.979
2019-04-01,173.024
2019-05-01,171.088
2019-06-01,170.840
2019-07-01,171.309
2019-08-01,171.870
2019-09-01,170.683
2019-10-01,172.276
2019-11-01,173.494
2019-12-01,173.887
2020-01-01,174.516
2020-02-01,174.117
2020-03-01,175.805
2020-04-01,175.805
2020-05-01,179.631
2020-06-01,176.613
2020-07-01,171.125
2020-08-01,172.058
2020-09-01,172.805
2020-10-01,174.274
2020-11-01,176.019
2020-12-01,173.883
2021-01-01,170.235
2021-02-01,171.279
2021-03-01,173.456
2021-04-01,175.527
2021-05-01,175.337
2021-06-01,175.696
2021-07-01,177.167
2021-08-01,177.538
2021-09-01,178.200
2021-10-01,181.010
2021-11-01,179.303
2021-12-01,179.075
2022-01-01,180.003
2022-02-01,181.287
2022-03-01,180.940
2022-04-01,180.483
2022-05-01,180.960
2022-06-01,181.701
2022-07-01,183.305
2022-08-01,183.135
2022-09-01,183.260
2022-10-01,185.132
2022-11-01,187.214
2022-12-01,189.292
2023-01-01,190.636
2023-02-01,192.000
2023-03-01,190.619
2023-04-01,190.929
2023-05-01,190.831
2023-06-01,192.264
2023-07-01,194.178
2023-08-01,193.433
2023-09-01,195.148
2023-10-01,195.456
2023-11-01,196.064
2023-12-01,199.110
2024-01-01,199.827
2024-02-01,200.644
2024-03-01,198.999
2024-04-01,199.316
2024-05-01,199.877
2024-06-01,200.159
2024-07-01,200.861
2024-08-01,200.692
2024-09-01,199.222
2024-10-01,201.663
2024-11-01,204.049
2024-12-01,204.638
2025-01-01,207.859
2025-02-01,209.279
2025-03-01,210.113
2025-04-01,209.459
2025-05-01,208.183
2025-06-01,208.192
2025-07-01,209.762
2025-08-01,209.396
2025-09-01,209.451
2025-10-01,208.306
2025-11-01,207.161
2025-12-01,211.010
2026-01-01,212.038
2026-02-01,213.450
2026-03-01,211.550
2026-04-01,210.849
